title,url,posted_at
서울[입학처] 2025-2학기 경희인턴장학(교내근로) 모집 공고(서울캠퍼스),https://www.khu.ac.kr/kor/user/bbs/BMSR00040/view.do?boardId=319547&menuNo=200361,2025-08-18
서울경희인턴 공고,https://www.khu.ac.kr/kor/user/bbs/BMSR00040/view.do?boardId=319482&menuNo=200361,2025-08-11
서울[총무팀] 2025-2 경희인턴(교내근로) 장학생 모집,https://www.khu.ac.kr/kor/user/bbs/BMSR00040/view.do?boardId=319477&menuNo=200361,2025-08-08
서울[서울C 총무관리처 관재팀] 2025학년도 2학기 경희인턴(교내근로) 장학생 모집,https://www.khu.ac.kr/kor/user/bbs/BMSR00040/view.do?boardId=319451&menuNo=200361,2025-08-07
서울[경희대학교 인권센터] 경희인턴(교내근로) 장학생 모집 공고,https://www.khu.ac.kr/kor/user/bbs/BMSR00040/view.do?boardId=319382&menuNo=200361,2025-07-25
서울시설운영팀 경희인턴 공고,https://www.khu.ac.kr/kor/user/bbs/BMSR00040/view.do?boardId=319337&menuNo=200361,2025-07-22
서울인사처 경희인턴장학 지원자 모집,https://www.khu.ac.kr/kor/user/bbs/BMSR00040/view.do?boardId=318866&menuNo=200361,2025-06-26
서울[입학처] 하계방학 경희인턴장학(교내근로) 모집 공고(서울캠퍼스),https://www.khu.ac.kr/kor/user/bbs/BMSR00040/view.do?boardId=318776&menuNo=200361,2025-06-17
국제★[국제C][국가근로]25-1학기 국가근로장학생 추가 모집 공고문 안내(교외)★,https://www.khu.ac.kr/kor/user/bbs/BMSR00040/view.do?boardId=317357&menuNo=200361,2025-05-21
공통[공통][국가근로] 2025-1학기 하계방학 집중근로 프로그램 희망근로지 신청 안내,https://www.khu.ac.kr/kor/user/bbs/BMSR00040/view.do?boardId=317346&menuNo=200361,2025-05-20
